Date,Open,High,Low,Close,Volume,OpenInt
2016-12-22,31.081,31.121,30.956,30.994,24837373,0
2016-12-23,31.044,31.111,30.946,31.053,15356874,0
2016-12-27,31.063,31.213,31.024,31.073,16047723,0
2016-12-28,31.014,31.141,30.848,30.877,19033025,0
2016-12-29,30.917,31.05,30.877,30.887,16518747,0
2016-12-30,30.809,30.97,30.692,30.78,26132309,0
2017-01-03,30.848,31.009,30.585,30.868,32924286,0
2017-01-04,30.927,31.004,30.8,30.877,21963187,0
2017-01-05,30.751,30.927,30.497,30.702,26544388,0
2017-01-06,30.761,30.946,30.547,30.79,22585041,0
2017-01-09,30.819,30.838,30.614,30.644,21798615,0
2017-01-10,30.644,30.8,30.557,30.557,27909755,0
2017-01-11,30.43,30.702,30.43,30.654,29034091,0
2017-01-12,30.634,30.654,30.323,30.575,30636076,0
2017-01-13,30.547,30.634,30.44,30.547,24956883,0
2017-01-17,30.361,30.634,30.351,30.459,29589015,0
2017-01-18,30.4,30.522,30.323,30.42,25358948,0
2017-01-19,30.44,30.527,30.244,30.38,38672536,0
2017-01-20,29.963,30.098,29.514,29.738,85475737,0
2017-01-23,29.709,29.719,28.813,28.978,60632744,0
2017-01-24,29.085,29.28,29.047,29.222,32785019,0
2017-01-25,29.631,29.679,29.431,29.582,39131076,0
2017-01-26,29.65,29.699,29.349,29.533,27474210,0
2017-01-27,29.611,29.65,29.159,29.232,30729116,0
2017-01-30,29.182,29.319,28.997,29.182,26909287,0
2017-01-31,29.075,29.124,28.735,28.93,39730078,0
2017-02-01,28.959,29.037,28.793,28.92,26354418,0
2017-02-02,28.813,28.939,28.735,28.91,22283832,0
2017-02-03,29.017,29.027,28.774,28.93,31932148,0
2017-02-06,28.91,28.978,28.803,28.89,24145875,0
2017-02-07,28.978,29.037,28.764,28.793,24408513,0
2017-02-08,28.744,28.774,28.5,28.667,32972027,0
2017-02-09,28.754,28.93,28.696,28.822,22238063,0
2017-02-10,28.969,28.978,28.783,28.949,23365150,0
2017-02-13,29.105,29.28,28.959,29.261,37526508,0
2017-02-14,29.349,29.494,29.144,29.494,35958850,0
2017-02-15,29.504,29.563,29.397,29.563,26138956,0
2017-02-16,29.563,29.679,29.514,29.66,26622725,0
2017-02-17,29.621,29.65,29.416,29.582,22415311,0
2017-02-21,29.621,29.796,29.553,29.728,31028333,0
2017-02-22,29.728,29.757,29.475,29.543,30920261,0
2017-02-23,29.494,29.533,29.307,29.475,29479690,0
2017-02-24,29.641,29.641,29.641,29.641,27799910,0
2017-02-27,29.504,29.601,29.357,29.396,23944878,0
2017-02-28,29.445,29.533,29.131,29.269,39816064,0
2017-03-01,29.435,29.798,29.278,29.641,37522068,0
2017-03-02,29.68,29.68,29.455,29.641,28132509,0
2017-03-03,29.641,29.666,29.504,29.573,20354148,0
2017-03-06,29.455,29.533,29.376,29.455,23850225,0
2017-03-07,29.386,29.44,29.249,29.317,30520877,0
2017-03-08,29.347,29.396,29.189,29.259,32904137,0
2017-03-09,29.209,29.287,29.023,29.121,26418676,0
2017-03-10,29.297,29.876,29.091,29.73,60295191,0
2017-03-13,29.68,29.71,29.249,29.317,30560459,0
2017-03-14,29.219,29.249,28.934,29.003,23218281,0
2017-03-15,29.013,29.287,28.934,29.219,25604758,0
2017-03-16,29.259,29.278,29.081,29.209,21599531,0
2017-03-17,29.307,29.494,29.229,29.337,44444422,0
2017-03-20,29.357,29.376,29.151,29.199,19226479,0
2017-03-21,29.317,29.317,28.807,28.856,27318388,0
2017-03-22,29.023,29.17,28.777,28.993,26482004,0
2017-03-23,28.964,29.189,28.846,29.081,25128545,0
2017-03-24,29.052,29.269,28.993,29.179,28393598,0
2017-03-27,28.915,28.974,28.718,28.905,29517567,0
2017-03-28,28.777,29.189,28.718,29.081,28347858,0
2017-03-29,28.983,29.17,28.925,29.141,28068857,0
2017-03-30,29.121,29.445,29.091,29.327,36612606,0
2017-03-31,29.317,29.494,29.199,29.259,51730550,0
2017-04-03,29.219,29.455,29.204,29.337,30466006,0
2017-04-04,29.357,29.543,29.161,29.475,25520623,0
2017-04-05,29.543,29.868,29.405,29.425,26251333,0
2017-04-06,29.455,29.627,29.376,29.386,21931465,0
2017-04-07,29.376,29.641,29.376,29.445,19325699,0
2017-04-10,29.523,29.68,29.415,29.465,18832828,0
2017-04-11,29.455,29.553,29.297,29.494,22446468,0
2017-04-12,29.337,29.357,29.111,29.229,27535659,0
2017-04-13,29.161,29.259,29.013,29.023,20340550,0
2017-04-17,29.081,29.161,29.013,29.101,22178060,0
2017-04-18,29.062,29.357,29.043,29.297,26180681,0
2017-04-19,29.347,29.514,29.327,29.455,27049562,0
2017-04-20,29.504,29.985,29.484,29.72,37661818,0
2017-04-21,29.72,29.828,28.915,29.013,73644253,0
2017-04-24,29.307,29.386,28.954,29.013,48960109,0
2017-04-25,28.915,29.062,28.787,28.915,40584818,0
2017-04-26,28.983,29.013,28.728,28.728,38036892,0
2017-04-27,28.758,28.777,28.492,28.552,33500958,0
2017-04-28,28.572,28.63,28.404,28.463,24524250,0
2017-05-01,28.482,28.64,28.404,28.414,24458252,0
2017-05-02,28.482,28.522,28.384,28.463,32244856,0
2017-05-03,28.394,28.758,28.326,28.698,27379843,0
